yr,growth,inflation,inf_adj_growth
2025,17.88,2.68,14.80
2024,25.02,2.89,21.51
2023,26.29,3.35,22.20
2022,-18.11,6.45,-23.07
2021,28.71,7.04,20.24
2020,18.40,1.36,16.81
2019,31.49,2.29,28.55
2018,-4.38,1.91,-6.17
2017,21.83,2.11,19.31
2016,11.96,2.07,9.69
2015,1.38,0.73,0.65
2014,13.69,0.76,12.83
2013,32.39,1.50,30.43
2012,16.00,1.74,14.02
2011,2.11,2.96,-0.83
2010,15.06,1.50,13.36
2009,26.46,2.72,23.11
2008,-37.00,0.11,-37.07
2007,5.49,4.06,1.37
2006,15.79,2.54,12.92
2005,4.91,3.42,1.44
2004,10.88,3.26,7.38
2003,28.68,1.88,26.31
2002,-22.10,2.38,-23.91
2001,-11.89,1.55,-13.23
2000,-9.10,3.39,-12.08
1999,21.04,2.68,17.88
1998,28.58,1.61,26.54
1997,33.36,1.70,31.13
1996,22.96,3.32,19.01
1995,37.58,2.54,34.17
1994,1.32,2.67,-1.31
1993,10.08,2.75,7.13
1992,7.62,2.90,4.59
1991,30.47,3.06,26.60
1990,-3.10,6.11,-8.68
1989,31.69,4.65,25.84
1988,16.61,4.42,11.67
1987,5.25,4.43,0.79
1986,18.67,1.10,17.38
1985,31.73,3.80,26.91
1984,6.27,3.95,2.23
1983,22.56,3.79,18.08
1982,21.55,3.83,17.07
1981,-4.91,8.92,-12.70
1980,32.42,12.52,17.69
1979,18.44,13.29,4.55
1978,6.56,9.02,-2.26
1977,-7.18,6.70,-13.01
1976,23.84,4.86,18.10
1975,37.20,6.94,28.30
1974,-26.47,12.34,-34.55
1973,-14.66,8.71,-21.50
1972,18.98,3.41,15.06
1971,14.31,3.27,10.69
1970,4.01,5.57,-1.48
1969,-8.50,6.20,-13.84
1968,11.06,4.72,6.05
1967,23.98,3.04,20.32
1966,-10.06,3.46,-13.07
1965,12.45,1.92,10.33
1964,16.48,0.97,15.36
1963,22.80,1.64,20.82
1962,-8.73,1.33,-9.93
1961,26.89,0.67,26.05
1960,0.47,1.36,-0.88
1959,11.96,1.73,10.06
1958,43.36,1.76,40.88
1957,-10.78,2.90,-13.29
1956,6.56,2.99,3.47
1955,31.56,0.37,31.08
1954,52.62,-0.74,53.76
1953,-0.99,0.75,-1.73
1952,18.37,0.75,17.49
1951,24.02,6.00,17.00
1950,31.71,5.93,24.34
1949,18.79,-2.07,21.30
1948,5.50,2.99,2.44
1947,5.71,8.84,-2.88
1946,-8.07,18.13,-22.18
1945,36.44,2.25,33.44
1944,19.75,2.30,17.06
1943,25.90,2.96,22.28
1942,20.34,9.03,10.37
1941,-11.59,9.93,-19.58
1940,-9.78,0.71,-10.42
1939,-0.41,0.00,-0.41
1938,31.12,-2.78,34.87
1937,-35.03,2.86,-36.84
1936,33.92,1.45,32.01
1935,47.67,2.99,43.38
1934,-1.44,1.52,-2.92
1933,53.99,0.76,52.83
1932,-8.19,-10.27,2.32
1931,-43.34,-9.32,-37.52
1930,-24.90,-6.40,-19.76
1929,-8.42,0.58,-8.95
1928,43.61,-1.16,45.30
1927,37.49,-2.26,40.67
1926,11.62,-1.12,12.88